genoSize,nCouples,nProgeny,simTime
10000,40,20,14.4475650787354
7500,70,17,14.7580590248108
7500,70,17,15.0110716819763
10000,70,13,15.1108291149139
7500,100,13,15.1567361354828
5000,100,17,15.3246810436249
7500,100,13,15.6276013851166
10000,100,10,15.6936206817627
5000,100,17,15.9266905784607
5000,100,20,16.3813679218292
7500,70,20,16.5171427726746
7500,100,13,16.5199687480927
10000,70,13,16.6284165382385
5000,100,17,17.0166411399841
5000,100,20,17.0950870513916
7500,70,20,17.5296366214752
10000,70,17,17.5309484004974
7500,70,20,17.7570247650146
7500,100,13,17.8313553333282
10000,70,17,17.9258639812469
10000,70,20,18.0654275417328
5000,100,20,18.2799439430237
10000,70,17,18.4363453388214
10000,100,17,18.6099009513855
7500,70,20,18.6956713199615
10000,100,13,18.7766351699829
10000,100,13,18.926557302475
7500,100,17,19.0702469348907
10000,100,13,19.6103496551514
10000,70,20,19.7907047271729
10000,100,13,20.2087914943695
7500,100,17,20.7092018127441
7500,100,17,20.8753862380981
7500,100,17,21.378630399704
10000,70,20,21.3903782367706
7500,100,20,21.4600811004639
10000,70,20,22.0621447563171
7500,100,20,22.1619050502777
7500,100,20,23.6002128124237
10000,100,17,24.6290082931519
7500,100,20,25.0357205867767
10000,100,17,26.0105319023132
10000,100,17,26.0342531204224
10000,100,20,27.5951268672943
10000,100,20,27.940235376358
10000,100,20,28.2627220153809
10000,100,20,31.1399638652802
